symbol,level,horizon,date,entry,fwd_pct,bars_avail,outcome,resume,episode_id,touch_before_resume
AAPL,0.786,5,2016-06-13,22.140323638916016,-2.301216084968316,5,fail,False,AAPL_358,True
AAPL,0.786,10,2016-06-13,22.140323638916016,-5.444875242787129,10,fail,False,AAPL_358,True
AAPL,0.236,5,2016-08-25,24.59971237182617,-0.7808823125771469,5,resume,True,AAPL_408,True
AAPL,0.236,10,2016-08-25,24.59971237182617,-4.127550701563576,10,resume,True,AAPL_408,True
AAPL,0.382,5,2016-09-09,23.584346771240234,11.432188784624975,5,resume,True,AAPL_408,True
AAPL,0.382,10,2016-09-09,23.584346771240234,9.289267520636901,10,resume,True,AAPL_408,True
AAPL,0.5,5,2016-09-12,24.11261367797852,7.72002492652637,5,resume,True,AAPL_408,True
AAPL,0.5,10,2016-09-12,24.11261367797852,7.05614021376757,10,resume,True,AAPL_408,True
AAPL,0.236,5,2016-09-26,25.81403350830078,-0.31892299594178386,5,resume,True,AAPL_431,True
AAPL,0.236,10,2016-09-26,25.81403350830078,2.8083001108025307,10,resume,True,AAPL_431,True
AAPL,0.236,5,2016-10-19,26.78365898132324,-1.3063339607448654,5,fail,False,AAPL_447,True
AAPL,0.236,10,2016-10-19,26.78365898132324,-4.721638135950301,10,fail,False,AAPL_447,True
AAPL,0.382,5,2016-10-19,26.78365898132324,-1.3063339607448654,5,fail,False,AAPL_447,True
AAPL,0.382,10,2016-10-19,26.78365898132324,-4.721638135950301,10,fail,False,AAPL_447,True
AAPL,0.5,5,2016-10-19,26.78365898132324,-1.3063339607448654,5,fail,False,AAPL_447,True
AAPL,0.5,10,2016-10-19,26.78365898132324,-4.721638135950301,10,fail,False,AAPL_447,True
AAPL,0.618,5,2016-10-19,26.78365898132324,-1.3063339607448654,5,fail,False,AAPL_447,True
AAPL,0.618,10,2016-10-19,26.78365898132324,-4.721638135950301,10,fail,False,AAPL_447,True
AAPL,0.786,5,2016-11-01,25.49616050720215,0.12574686749360353,5,fail,False,AAPL_447,True
AAPL,0.786,10,2016-11-01,25.49616050720215,-3.4353679130112114,10,fail,False,AAPL_447,True
AAPL,0.236,5,2016-11-01,25.49616050720215,0.12574686749360353,5,fail,False,AAPL_457,True
AAPL,0.236,10,2016-11-01,25.49616050720215,-3.4353679130112114,10,fail,False,AAPL_457,True
AAPL,0.382,5,2016-11-01,25.49616050720215,0.12574686749360353,5,fail,False,AAPL_457,True
AAPL,0.382,10,2016-11-01,25.49616050720215,-3.4353679130112114,10,fail,False,AAPL_457,True
AAPL,0.5,5,2016-11-01,25.49616050720215,0.12574686749360353,5,fail,False,AAPL_457,True
AAPL,0.5,10,2016-11-01,25.49616050720215,-3.4353679130112114,10,fail,False,AAPL_457,True
AAPL,0.618,5,2016-11-01,25.49616050720215,0.12574686749360353,5,fail,False,AAPL_457,True
AAPL,0.618,10,2016-11-01,25.49616050720215,-3.4353679130112114,10,fail,False,AAPL_457,True
AAPL,0.786,5,2016-11-01,25.49616050720215,0.12574686749360353,5,fail,False,AAPL_457,True
AAPL,0.786,10,2016-11-01,25.49616050720215,-3.4353679130112114,10,fail,False,AAPL_457,True
AAPL,0.236,5,2016-12-05,25.07999420166016,3.8401903090240053,5,resume,True,AAPL_480,True
AAPL,0.236,10,2016-12-05,25.07999420166016,6.901310656058124,10,resume,True,AAPL_480,True
AAPL,0.382,5,2016-12-05,25.07999420166016,3.8401903090240053,5,resume,True,AAPL_480,True
AAPL,0.382,10,2016-12-05,25.07999420166016,6.901310656058124,10,resume,True,AAPL_480,True
AAPL,0.5,5,2016-12-05,25.07999420166016,3.8401903090240053,5,resume,True,AAPL_480,True
AAPL,0.5,10,2016-12-05,25.07999420166016,6.901310656058124,10,resume,True,AAPL_480,True
AAPL,0.236,5,2017-04-12,32.73542404174805,0.4513718340666051,5,resume,True,AAPL_568,True
AAPL,0.236,10,2017-04-12,32.73542404174805,1.403408187130406,10,resume,True,AAPL_568,True
AAPL,0.382,5,2017-04-12,32.73542404174805,0.4513718340666051,5,resume,True,AAPL_568,True
AAPL,0.382,10,2017-04-12,32.73542404174805,1.403408187130406,10,resume,True,AAPL_568,True
AAPL,0.5,5,2017-04-12,32.73542404174805,0.4513718340666051,5,resume,True,AAPL_568,True
AAPL,0.5,10,2017-04-12,32.73542404174805,1.403408187130406,10,resume,True,AAPL_568,True
AAPL,0.618,5,2017-04-12,32.73542404174805,0.4513718340666051,5,resume,True,AAPL_568,True
AAPL,0.618,10,2017-04-12,32.73542404174805,1.403408187130406,10,resume,True,AAPL_568,True
AAPL,0.236,5,2017-05-31,35.41117477416992,1.7085743383992824,5,resume,True,AAPL_595,True
AAPL,0.236,10,2017-05-31,35.41117477416992,-4.975122341502214,10,resume,True,AAPL_595,True
AAPL,0.382,5,2017-06-09,34.5349235534668,-4.503937481021747,5,resume,True,AAPL_595,True
AAPL,0.382,10,2017-06-09,34.5349235534668,-1.8123138280568996,10,resume,True,AAPL_595,True
AAPL,0.5,5,2017-06-09,34.5349235534668,-4.503937481021747,5,resume,True,AAPL_595,True
AAPL,0.5,10,2017-06-09,34.5349235534668,-1.8123138280568996,10,resume,True,AAPL_595,True
AAPL,0.618,5,2017-06-09,34.5349235534668,-4.503937481021747,5,resume,True,AAPL_595,True
AAPL,0.618,10,2017-06-09,34.5349235534668,-1.8123138280568996,10,resume,True,AAPL_595,True
AAPL,0.786,5,2017-06-12,33.709686279296875,0.6326843497051815,5,resume,True,AAPL_595,True
AAPL,0.786,10,2017-06-12,33.709686279296875,0.2751111489327718,10,resume,True,AAPL_595,True
AAPL,0.236,5,2017-06-14,33.6494255065918,0.48915116718692975,5,fail,False,AAPL_611,True
AAPL,0.236,10,2017-06-14,33.6494255065918,0.46154657156023404,10,fail,False,AAPL_611,True
AAPL,0.382,5,2017-06-14,33.6494255065918,0.48915116718692975,5,fail,False,AAPL_611,True
AAPL,0.382,10,2017-06-14,33.6494255065918,0.46154657156023404,10,fail,False,AAPL_611,True
