label,n,mean_pct,median_pct,std_pct,win_rate,total_pct,t,p,best,worst,avg_R,median_R,expectancy_R,pct_stopped,pct_target,pct_eod,mean_R_dollars,ma,vwap,fill,stop,target,breakeven_bps,mean_net_1x,mean_net_2x,passes_bonferroni
ema|premkt|nextopen|pullback|3R,1924,0.1993009753150518,-2.1241401552710535,10.595126868137996,0.3097713097713098,383.4550765061597,0.8250984978436275,0.40931567247980327,105.12000000000002,-34.77633477633477,0.05435309448639909,-1.0,0.05435309448639909,0.6502079002079002,0.20582120582120583,0.14397089397089397,0.491091683991684,ema,premkt,nextopen,pullback,3R,19.93009753150518,-0.2506990246849482,-0.7006990246849483,False
sma|premkt|nextopen|pullback|3R,1831,0.16324561017585335,-2.160408614025411,10.533033080861038,0.3058438012015292,298.9027122319875,0.6631812446909092,0.5072144819178168,105.12000000000002,-34.77633477633477,0.044201389856253874,-1.0,0.044201389856253874,0.6548334243582742,0.20371381758601856,0.14145275805570726,0.49102626979792474,sma,premkt,nextopen,pullback,3R,16.324561017585335,-0.2867543898241467,-0.7367543898241466,False
ema|rth|trigger|c20|eod,2052,0.16151073861827908,-1.9782393669633969,17.087170188365487,0.18859649122807018,331.42003564470866,0.42817364934419466,0.6685246994041933,611.5384615384615,-15.461847389558226,0.009776559454191758,-1.0,0.009776559454191758,0.7816764132553606,0.0,0.21832358674463936,0.19999999999999976,ema,rth,trigger,c20,eod,16.151073861827907,-0.28848926138172093,-0.7384892613817209,False
sma|premkt|nextopen|atr|eod,1866,0.1494279898787406,-2.902885083185697,15.033639883714805,0.23687031082529475,278.8326291137299,0.42936202553704117,0.6676597847982901,237.70588235294116,-24.762698915137193,0.03251900247897684,-1.0,0.03251900247897684,0.7331189710610932,0.0,0.26688102893890675,0.4370044633287399,sma,premkt,nextopen,atr,eod,14.94279898787406,-0.30057201012125945,-0.7505720101212594,False
ema|rth|nextopen|pullback|3R,2044,0.1454068614313966,-2.253495087921298,10.731527357264495,0.30772994129158515,297.2116247657747,0.6125814043197874,0.5401531570739277,72.85259809119829,-34.77633477633477,0.04754028099499433,-1.0,0.04754028099499433,0.649706457925636,0.2045009784735812,0.14579256360078277,0.5082607142857143,ema,rth,nextopen,pullback,3R,14.540686143139661,-0.30459313856860337,-0.7545931385686034,False
ema|rth|trigger|atr|eod,1943,0.13882501522444152,-3.089205637411907,19.394807243549653,0.22027792074112199,269.7370045810899,0.31551402022285435,0.75237140769125,611.5384615384615,-18.689751472911897,0.00782020164809157,-1.0,0.00782020164809157,0.755018013381369,0.0,0.244981986618631,0.4046451253584295,ema,rth,trigger,atr,eod,13.882501522444151,-0.3111749847755585,-0.7611749847755584,False
sma|premkt|trigger|pullback|3R,1831,0.10600971129996709,-2.5821596244131273,9.822164964708165,0.2960131075914801,194.10378139023973,0.4618304883332397,0.6442028852608881,68.95674300254448,-26.08340147179067,0.05615523643224446,-1.0,0.05615523643224446,0.6717640633533588,0.21245221190606225,0.11578372474057892,0.47934374658656487,sma,premkt,trigger,pullback,3R,10.600971129996708,-0.3439902887000329,-0.793990288700033,False
sma|rth|nextopen|pullback|3R,1934,0.10061480247741444,-2.2626096114659875,10.834512263986543,0.3066184074457084,194.58902799131954,0.40839531215254155,0.6829834745101189,72.85259809119829,-34.77633477633477,0.04517182303156604,-1.0,0.04517182303156604,0.6509824198552223,0.203205791106515,0.14581178903826267,0.518432316442606,sma,rth,nextopen,pullback,3R,10.061480247741445,-0.34938519752258557,-0.7993851975225856,False
ema|premkt|trigger|pullback|3R,1923,0.0815231368005979,-2.580645161290307,9.796968593574094,0.29901196047841916,156.76899206754976,0.36490415470050086,0.7151829528517895,68.95674300254448,-26.08340147179067,0.06727130016002937,-1.0,0.06727130016002937,0.6666666666666666,0.21528861154446177,0.11804472178887156,0.4805552782111286,ema,premkt,trigger,pullback,3R,8.152313680059791,-0.3684768631994021,-0.8184768631994022,False
ema|premkt|nextopen|c20|eod,2003,0.06669344140519831,-1.7439224303302914,15.788051922283497,0.1907139291063405,133.5869631346122,0.1890579987446966,0.850047359916877,604.0722013809601,-11.662198391420908,0.008031952071893372,-1.0,0.008031952071893372,0.7713429855217174,0.0,0.22865701447828257,0.19999999999999976,ema,premkt,nextopen,c20,eod,6.669344140519831,-0.38330655859480167,-0.8333065585948017,False
sma|rth|nextopen|pullback|eod,1934,0.04911181279025794,-2.499970618373065,15.840784795060422,0.24767321613236815,94.98224593635885,0.1363444630258107,0.8915489756378712,237.70588235294116,-34.77633477633477,0.18476346398007315,-1.0,0.18476346398007315,0.7052740434332989,0.0,0.29472595656670114,0.518432316442606,sma,rth,nextopen,pullback,eod,4.911181279025794,-0.40088818720974206,-0.8508881872097421,False
ema|rth|trigger|pullback|3R,2052,0.03922485069748927,-2.7966277143908647,10.208747558082846,0.2948343079922027,80.48939363124799,0.1740513967042627,0.8618250698880228,68.95674300254448,-26.08340147179067,0.05080765344079743,-1.0,0.05080765344079743,0.6695906432748538,0.21052631578947367,0.11988304093567251,0.48647387914230034,ema,rth,trigger,pullback,3R,3.9224850697489275,-0.41077514930251074,-0.8607751493025108,False
sma|premkt|trigger|c20|eod,1831,0.025745625746298736,-1.8671454219030492,10.859009311188412,0.19606772255598034,47.14024074147299,0.10145125373878115,0.9191922517126592,217.32050333086602,-14.449541284403677,0.06400709994538632,-1.0,0.06400709994538632,0.7766247951938832,0.0,0.2233752048061169,0.19999999999999973,sma,premkt,trigger,c20,eod,2.5745625746298737,-0.42425437425370127,-0.8742543742537013,False
sma|premkt|nextopen|pullback|trail,1831,0.022651814329550442,-0.7999999999999896,7.697335919274599,0.3571818678317859,41.47547203740686,0.12592348233498354,0.8997924944164972,144.95999999999998,-33.54978354978354,0.004031331532926109,-0.33333333333333237,0.004031331532926109,0.9830693610049154,0.0,0.016930638995084655,0.49102626979792474,sma,premkt,nextopen,pullback,trail,2.2651814329550444,-0.4273481856704496,-0.8773481856704496,False
sma|premkt|nextopen|pullback|2R,1831,0.022277245756778162,-1.9014357780364755,8.875532077402152,0.3544511196067723,40.789636980660816,0.10740172831598294,0.914470283441188,70.08000000000001,-34.77633477633477,0.013585579789690638,-1.0,0.013585579789690638,0.6111414527580558,0.298197706171491,0.0906608410704533,0.49102626979792474,sma,premkt,nextopen,pullback,2R,2.2277245756778163,-0.42772275424322187,-0.8777227542432219,False
sma|rth|trigger|pullback|3R,1945,0.006616784280722266,-2.7972027972028024,10.258879696068231,0.29203084832904885,12.869645426004809,0.02844505919952072,0.9773071866816248,68.95674300254448,-26.08340147179067,0.040854381817104046,-1.0,0.040854381817104046,0.6740359897172237,0.20822622107969152,0.11773778920308484,0.4915061182519281,sma,rth,trigger,pullback,3R,0.6616784280722267,-0.44338321571927775,-0.8933832157192777,False
