n,mean_pct,std_pct,median_pct,win_rate,mean_R,t,p,breakeven_bps,mean_risk_pct,trades_per_yr,symbol,n_min,entry_rule,stop,target,direction_mode,window,bonf_bar_per_symbol,bonf_bar_total
1401,0.03733364630567062,1.2687601886213544,-0.34044961339308855,0.18344039971448964,0.1455142851655751,1.1013869682058812,0.2707282747515496,3.733364630567062,0.5187655551750932,247.32491541807636,NVDA,5,close,atr10,eod,long_short,full,3.577254387307179,3.9247896514051925
697,0.08112014670259014,1.3808793174978424,0.24429345751583567,0.5351506456241033,0.04772737034896773,1.5509199823514563,0.12092086107127997,8.112014670259015,1.4940778310667013,123.04458675688738,NVDA,5,close,or,1R,long_only,full,3.577254387307179,3.9247896514051925
718,0.029246976397878377,1.511567103302495,0.22254277998755323,0.5153203342618384,0.04339545610793478,0.518460608330632,0.604136937159131,2.924697639787838,1.5394218130706208,126.75181246979217,NVDA,5,close,or,1R,short_only,full,3.577254387307179,3.9247896514051925
1415,0.05479863696493428,1.448388489984858,0.23824887079961768,0.5250883392226149,0.04552926828178634,1.423190090665073,0.15468105743575222,5.479863696493428,1.517086296846782,249.79639922667954,NVDA,5,close,or,1R,long_short,full,3.577254387307179,3.9247896514051925
697,0.16139755228341102,1.67761286227858,-0.08355527106884389,0.48637015781922527,0.09442083183342713,2.5399290534845242,0.01108749574980572,16.1397552283411,1.4940778310667013,123.04458675688738,NVDA,5,close,or,2R,long_only,full,3.577254387307179,3.9247896514051925
718,0.026741876662137815,1.8077968054714095,-0.45066950150376184,0.4415041782729805,0.04982234220542942,0.3963733881074958,0.691829595037623,2.6741876662137813,1.5394218130706208,126.75181246979217,NVDA,5,close,or,2R,short_only,full,3.577254387307179,3.9247896514051925
1415,0.09307050274554943,1.7455689381447999,-0.2848468120342303,0.4636042402826855,0.07179064416353148,2.005641349101653,0.044894526936908985,9.307050274554943,1.517086296846782,249.79639922667954,NVDA,5,close,or,2R,long_short,full,3.577254387307179,3.9247896514051925
697,0.19457388680203422,1.797719518169911,-0.13779407890737538,0.47919655667144906,0.11491503884991155,2.857452434597746,0.0042705663528967985,19.457388680203422,1.4940778310667013,123.04458675688738,NVDA,5,close,or,3R,long_only,full,3.577254387307179,3.9247896514051925
718,0.05864611361309981,1.914494792724238,-0.45639387231348444,0.4373259052924791,0.07318736462620366,0.8208187529809033,0.4117495151346189,5.864611361309981,1.5394218130706208,126.75181246979217,NVDA,5,close,or,3R,short_only,full,3.577254387307179,3.9247896514051925
1415,0.12560134888708377,1.8584790534003182,-0.29462489221040283,0.4579505300353357,0.09374156175265201,2.5422300787554977,0.011014764055977233,12.560134888708378,1.517086296846782,249.79639922667954,NVDA,5,close,or,3R,long_short,full,3.577254387307179,3.9247896514051925
697,0.218228063702309,1.9121797451795444,-0.14172160946453832,0.47776183644189385,0.13403243333036538,3.0129940546560205,0.0025868398542647775,21.8228063702309,1.4940778310667013,123.04458675688738,NVDA,5,close,or,eod,long_only,full,3.577254387307179,3.9247896514051925
718,0.04290745567171008,1.91667051054431,-0.4660885289616776,0.435933147632312,0.05928210985583096,0.5998567133415748,0.548601732884519,4.290745567171008,1.5394218130706208,126.75181246979217,NVDA,5,close,or,eod,short_only,full,3.577254387307179,3.9247896514051925
1415,0.12926679404437966,1.9157902821759336,-0.3067442649122138,0.4565371024734982,0.0961025872139585,2.5381496926096463,0.011144030665077853,12.926679404437966,1.517086296846782,249.79639922667954,NVDA,5,close,or,eod,long_short,full,3.577254387307179,3.9247896514051925
695,-0.034089463883787224,0.6595520821969072,-0.24642280934641064,0.4848920863309353,-0.02509488838694449,-1.3625846049824089,0.17301346343646307,-3.4089463883787223,0.5385582897704405,122.69151764137264,NVDA,5,touch,atr10,1R,long_only,full,3.577254387307179,3.9247896514051925
712,0.00348512409225312,0.629079394309448,0.24257935087829335,0.5098314606741573,0.0445232543795963,0.1478266663357345,0.882479563850479,0.348512409225312,0.4981738592098119,125.69260512324794,NVDA,5,touch,atr10,1R,short_only,full,3.577254387307179,3.9247896514051925
1407,-0.015075173450993526,0.6443564638845097,-0.21771571832641654,0.4975124378109453,0.010134761683970255,-0.8775728463139081,0.3801755704341825,-1.5075173450993526,0.518122103161224,248.3841227646206,NVDA,5,touch,atr10,1R,long_short,full,3.577254387307179,3.9247896514051925
695,-0.04928362608705505,0.751973109364496,-0.3258616883572888,0.34676258992805753,-0.05395759705580975,-1.72779712007662,0.08402460390668365,-4.928362608705505,0.5385582897704405,122.69151764137264,NVDA,5,touch,atr10,2R,long_only,full,3.577254387307179,3.9247896514051925
