label,n,mean_pct,median_pct,t_naive,p_naive,t_nw,p_nw,n_eff,hit_rate,quad,horizon_m,spec,archetype,preferred
IWD,73,3.1700470825480394,3.6093715268085136,5.320267688785847,1.0361468083530667e-07,4.315753472478769,1.590594174061266e-05,48.03625578917713,0.7397260273972602,Q4,3,lagged,A,True
VTV,73,3.5016599438606506,4.084098750959764,5.902798223788684,3.573872753293017e-09,4.7666941059908625,1.8727330513002016e-06,47.60379209471682,0.7397260273972602,Q4,3,lagged,-,False
SPLV,62,2.9010964934400993,3.886578557160436,4.903455130018722,9.416546005169835e-07,3.7980681333790915,0.00014582824273201567,37.197416786661236,0.7419354838709677,Q4,3,lagged,-,False
USMV,62,3.351219395435972,3.316862338145421,5.776774584533312,7.614619157436664e-09,4.5473770868352466,5.431862389437825e-06,38.418710615242695,0.8064516129032258,Q4,3,lagged,-,False
IWO,111,9.193160812293188,8.34160502347654,3.8724642473192143,0.00010774048418005222,1.5646840254018424,0.1176570159560113,18.121804567983073,0.6756756756756757,Q1,12,lagged,D,True
XBI,104,13.841239302344826,16.31412540412337,4.4661657932928716,7.963390582954588e-06,1.711083938155753,0.08706561876863805,15.265333145921856,0.6826923076923077,Q1,12,lagged,-,False
ARKK,39,13.198891541527663,-2.355242642790012,1.0745682149078193,0.2825680888070856,0.40293105302339344,0.6869989462910866,5.483503236724171,0.46153846153846156,Q1,12,lagged,-,False
QQQ,111,14.387615834647875,17.977574623269987,6.45521919121499,1.0806244787886499e-10,2.4856221890574983,0.012932518200820642,16.457778991312054,0.7837837837837838,Q1,12,lagged,C,False
IWF,111,10.72552444099803,13.361115507616805,5.407202092280617,6.401689756074802e-08,2.070520751158538,0.03840360484837335,16.275597860351418,0.7837837837837838,Q1,12,lagged,-,False
SPY,111,9.755500042252088,12.869263876493143,5.532163896301287,3.1630413843686256e-08,2.1659778197918484,0.030312881891673138,17.015351013541498,0.7657657657657657,Q1,12,lagged,B,False
