n_is,mean_pct_is,std_pct_is,median_pct_is,win_rate_is,mean_R_is,t_is,p_is,breakeven_bps_is,mean_risk_pct_is,trades_per_yr_is,symbol,n_min,entry_rule,stop,target,direction_mode,window_is,n_oos,mean_pct_oos,std_pct_oos,median_pct_oos,win_rate_oos,mean_R_oos,t_oos,p_oos,breakeven_bps_oos,mean_risk_pct_oos,trades_per_yr_oos,window_oos
435,-0.006128842604588646,1.8311481236363047,-0.7646961827026093,0.367816091954023,0.077937822615057,-0.0698071038669201,0.9443471929058536,-0.6128842604588647,1.2708287709832888,76.79253262445626,NVDA,5,touch,or,3R,short_only,is_2021_2024M05,284,0.200056213731997,1.7296936553043993,-0.5941420507820874,0.41901408450704225,0.1813614458248705,1.9491354608267093,0.051279249853454,20.005621373199702,1.1240123374147628,50.13581440309328,oos_2024M06_2026M09
858,0.07022037392136708,1.8248465431410597,-0.7507547211662953,0.3881118881118881,0.10946581607404193,1.1271466704253759,0.25968047384343307,7.022037392136708,1.2648286877616992,151.46665055582406,NVDA,5,touch,or,3R,long_short,is_2021_2024M05,563,0.12637660530542127,1.6303758055971818,-0.5655247417074583,0.41207815275310833,0.0978883974065112,1.8392177975986284,0.06588315795683575,12.637660530542128,1.1242415923322828,99.3889560173997,oos_2024M06_2026M09
423,0.18944903527348778,1.9851967267347843,-0.7283126787416683,0.40425531914893614,0.16923853842700212,1.9627230884323454,0.04967835882989968,18.944903527348778,1.2586583894132557,74.6741179313678,NVDA,5,touch,or,eod,long_only,is_2021_2024M05,279,0.09445440148165374,1.7360515390351354,-0.5623640511432979,0.4050179211469534,0.05155369605582787,0.9087861252799144,0.3634630318264782,9.445440148165375,1.1244749557608695,49.25314161430643,oos_2024M06_2026M09
435,-0.014132498905393361,1.8697111024218955,-0.7646961827026093,0.3632183908045977,0.08253720316088486,-0.15764822383356247,0.8747340015519165,-1.413249890539336,1.2708287709832888,76.79253262445626,NVDA,5,touch,or,eod,short_only,is_2021_2024M05,284,0.16919573753931383,1.7886054117540027,-0.6090262470472163,0.4119718309859155,0.13728646234082864,1.594167854039096,0.11089844439440899,16.91957375393138,1.1240123374147628,50.13581440309328,oos_2024M06_2026M09
858,0.0862346210918872,1.9290745321534808,-0.7507547211662953,0.38344988344988346,0.1252815677501245,1.3094119374302098,0.1903948499835022,8.62346210918872,1.2648286877616992,151.46665055582406,NVDA,5,touch,or,eod,long_short,is_2021_2024M05,563,0.13215695821411466,1.7615866439934522,-0.577200577200583,0.40852575488454707,0.09480077531859912,1.7800828772113446,0.07506239838167028,13.215695821411465,1.1242415923322828,99.3889560173997,oos_2024M06_2026M09
415,-0.024360817381384264,0.44444801978822235,-0.24564885713877688,0.4843373493975904,-0.025925591494367514,-1.1165930720623403,0.26416835515540704,-2.4360817381384265,0.4675927462365205,73.26184146930885,NVDA,15,close,atr10,1R,long_only,is_2021_2024M05,265,0.029880054990701507,0.49676868465003116,0.22656075384657254,0.5132075471698113,0.024341917716338812,0.979152007010861,0.32750487801786665,2.988005499070151,0.5624119886995864,46.78165780570324,oos_2024M06_2026M09
414,-0.05334458721516625,0.458465312100397,-0.2795949038124095,0.4468599033816425,-0.09796860383070176,-2.3674676170111253,0.01791028733028943,-5.334458721516625,0.46938957251830216,73.08530691155147,NVDA,15,close,atr10,1R,short_only,is_2021_2024M05,279,0.009838513524148006,0.6186620518980357,0.22586351974525753,0.5125448028673835,0.041033210029487184,0.26563060469725125,0.7905237129637825,0.9838513524148006,0.6349974648607655,49.25314161430643,oos_2024M06_2026M09
829,-0.03883522113432244,0.4514627971590243,-0.2638355488348819,0.46562123039806996,-0.061903645905998846,-2.476743772493634,0.013258704796101028,-3.8835221134322437,0.4684900756462402,146.34714838086032,NVDA,15,close,atr10,1R,long_short,is_2021_2024M05,544,0.019601396775318372,0.5621695010203477,0.22621213679591504,0.5128676470588235,0.03290234153135424,0.8132408567964653,0.4160799787800151,1.9601396775318372,0.5996387310690148,96.03479942000966,oos_2024M06_2026M09
415,-0.020442146619426473,0.6070568333519439,-0.30788420847198983,0.3325301204819277,-0.02690324623205446,-0.6859953867559773,0.4927160175037484,-2.044214661942647,0.4675927462365205,73.26184146930885,NVDA,15,close,atr10,2R,long_only,is_2021_2024M05,265,0.023219667202395836,0.6429609188322818,-0.2985457174995989,0.33584905660377357,-0.013553305946707941,0.5878876703352814,0.5566076928531116,2.3219667202395837,0.5624119886995864,46.78165780570324,oos_2024M06_2026M09
414,-0.03459357465504457,0.6312080249641571,-0.3266787146548367,0.3140096618357488,-0.0580336158552101,-1.1151238387045899,0.2647973572844935,-3.459357465504457,0.46938957251830216,73.08530691155147,NVDA,15,close,atr10,2R,short_only,is_2021_2024M05,279,0.050169368929678056,0.753143718107855,-0.286676056849467,0.3835125448028674,0.1490896963312137,1.112661040846647,0.2658540337460553,5.016936892967806,0.6349974648607655,49.25314161430643,oos_2024M06_2026M09
829,-0.027509325397165798,0.6189020302790953,-0.3165145770364684,0.3232810615199035,-0.04244965518740601,-1.2797799395243705,0.20062254094767207,-2.7509325397165796,0.4684900756462402,146.34714838086032,NVDA,15,close,atr10,2R,long_short,is_2021_2024M05,544,0.037041297316204175,0.7011233496712703,-0.2947964592032084,0.3602941176470588,0.06986102794215261,1.2322283824934166,0.21786378383637284,3.7041297316204176,0.5996387310690148,96.03479942000966,oos_2024M06_2026M09
415,0.01554670278678319,0.756122286133661,-0.32396019389375225,0.27951807228915665,0.06416198424032361,0.4188613668889545,0.6753174527891983,1.5546702786783189,0.4675927462365205,73.26184146930885,NVDA,15,close,atr10,3R,long_only,is_2021_2024M05,265,-0.018395257722951516,0.7339929527787967,-0.31331969029222073,0.2339622641509434,-0.12910210785957504,-0.40797816812444443,0.6832897031423708,-1.8395257722951517,0.5624119886995864,46.78165780570324,oos_2024M06_2026M09
414,-0.015709604606519424,0.7744406592257979,-0.3414492080508714,0.25120772946859904,-0.022355987939605946,-0.41274068352385224,0.6797966142781053,-1.5709604606519423,0.46938957251830216,73.08530691155147,NVDA,15,close,atr10,3R,short_only,is_2021_2024M05,279,0.036840347195528644,0.8277165471385606,-0.3063200193608834,0.3046594982078853,0.13641596274438977,0.7434370121220217,0.4572171430144012,3.6840347195528644,0.6349974648607655,49.25314161430643,oos_2024M06_2026M09
829,-6.2599096000017e-05,0.7650227520258743,-0.3338210594315176,0.26537997587454765,0.020955180280744796,-0.00235597661514618,0.9981202043721695,-0.0062599096000017,0.4684900756462402,146.34714838086032,NVDA,15,close,atr10,3R,long_short,is_2021_2024M05,544,0.00993329700546017,0.7832328903253463,-0.3103799116608924,0.2702205882352941,0.007073520262678973,0.2958025778104878,0.7673808542446094,0.993329700546017,0.5996387310690148,96.03479942000966,oos_2024M06_2026M09
415,0.11580086678557978,1.264038267528286,-0.3399358659540672,0.21204819277108433,0.3118704740154177,1.8662749917895145,0.06200290178123735,11.58008667855798,0.4675927462365205,73.26184146930885,NVDA,15,close,atr10,eod,long_only,is_2021_2024M05,265,-0.0023985849914845794,1.0546668905878709,-0.3242813423766382,0.18490566037735848,-0.09310047330132656,-0.03702224380923773,0.9704672699014301,-0.23985849914845794,0.5624119886995864,46.78165780570324,oos_2024M06_2026M09
