symbol,date,bucket,time,n_quotes,median_bps,mean_bps,p90_bps,p99_bps,median_abs_spread,median_mid,median_bid_size,median_ask_size
AAPL,2022-09-13,15:30-16:00,15:50:00,5877,0.6506392530655457,0.7488057049015674,1.301236174366313,1.3018290698419457,0.009999999999990905,153.70499999999998,4.0,3.0
AMD,2022-09-13,15:30-16:00,15:50:00,4105,1.2971009793100596,1.3851410843244476,2.5933609958501065,2.596391016488411,0.010000000000005116,77.095,4.0,4.0
AAPL,2022-09-13,15:30-16:00,15:58:00,5096,0.6486556611416926,0.663966911313499,0.6488240064876499,1.2976059170818017,0.009999999999990905,154.175,6.0,8.5
AMD,2022-09-13,15:30-16:00,15:58:00,3098,1.2950851518493964,1.2773724894652563,1.2962602890667074,2.5920165889056537,0.010000000000005116,77.215,14.0,13.0
IWM,2022-09-13,15:30-16:00,15:58:00,1806,0.5479602180876685,0.5352452947780703,0.5481103894319332,1.0958904109579073,0.009999999999990905,182.495,7.0,17.0
AAPL,2022-10-13,09:30-09:45,09:30:05,8945,1.4842300556572772,1.5156342676241783,2.228577795936644,3.7074111148172575,0.020000000000010232,134.755,2.0,2.0
AMD,2022-10-13,09:30-09:45,09:30:05,1052,3.6140224069394873,4.1049047957110645,5.424464334147208,7.228044813877691,0.020000000000003126,55.355000000000004,2.0,2.0
AAPL,2022-10-13,09:30-09:45,09:33:00,5095,1.483239394836978,1.515766182758804,2.226262476346046,2.963182457959259,0.020000000000010232,134.85000000000002,2.0,3.0
AMD,2022-10-13,09:30-09:45,09:33:00,3581,3.643650938239392,3.097347330700253,5.465974309920951,5.477951246234117,0.01999999999999602,54.835,2.0,4.0
IWM,2022-10-13,09:30-09:45,09:33:00,1324,1.227069145346968,1.131157169261961,1.8399828268270193,1.8411120316671967,0.01999999999998181,162.985,2.0,3.0
AAPL,2022-10-13,09:30-09:45,09:40:00,5173,0.7405487466205728,1.023011186677533,1.4804944851566961,1.481371750241481,0.010000000000019327,135.13,3.0,3.0
