ma,vwap,fill,stop,target,is_n,is_mean_pct,is_win,is_avg_R,is_t,oos_n,oos_mean_pct,oos_win,oos_avg_R,oos_t
ema,rth,trigger,pullback,2R,1109,-0.18378039437431815,0.3570784490532011,0.036765284364714164,-0.781385552358142,943,-0.0654627424090578,0.34146341463414637,0.019556403885389095,-0.21737070494577254
ema,rth,nextopen,c20,2R,1150,-0.1846266766255571,0.331304347826087,-0.0671391304347826,-1.3288781886910344,988,-0.5156604764345185,0.3016194331983806,-0.1439767206477733,-3.450637045760884
sma,rth,nextopen,pullback,1R,1021,-0.1895457317693547,0.48188050930460335,-0.023493197923447003,-0.9545497716500976,913,-0.12657662132150085,0.48083242059145676,-0.035701345535797534,-0.5222471776024202
ema,rth,trigger,atr,3R,1033,-0.19056327558122,0.27202323330106487,-0.0395190937234087,-0.7993281007857442,910,0.020125288910568525,0.2824175824175824,-0.016589129344672552,0.06853719837684052
ema,rth,nextopen,c20,trail,1150,-0.19412232188966763,0.3373913043478261,-0.03147434782608589,-1.6076610469647223,988,-0.3276377952953882,0.347165991902834,-0.08410273279352146,-3.042722423877339
sma,rth,nextopen,c20,trail,1081,-0.19694379212049182,0.3330249768732655,-0.033823311748380075,-1.5604791729481597,951,-0.2621092477881689,0.3501577287066246,-0.0715636172450045,-2.3819601833544413
ema,premkt,nextopen,pullback,1R,1083,-0.20105125714674452,0.4838411819021237,-0.01904147297088274,-1.0738522648499458,841,-0.2982821964601204,0.47324613555291317,-0.056201013423529886,-1.2508830828919595
sma,premkt,trigger,atr,trail,989,-0.20769787191654482,0.40040444893832156,-0.013719232325465043,-1.1640667346620028,799,-0.09126670357103608,0.34668335419274093,-0.029654996545756276,-0.4152462437413293
ema,rth,nextopen,atr,trail,1072,-0.20863324683684686,0.3376865671641791,-0.05119103807447507,-1.2599772791127393,953,-0.21064899538261211,0.3242392444910808,-0.07406635846217068,-1.1428747201854643
sma,rth,nextopen,c20,2R,1081,-0.21154663341194888,0.3330249768732655,-0.061563367252543924,-1.4753818206455342,951,-0.4407694975726795,0.305993690851735,-0.1302450052576236,-2.886416875013461
sma,premkt,trigger,atr,eod,989,-0.21336404531468098,0.22649140546006066,-0.0009970715621485798,-0.47069336941272866,799,0.0462986999004755,0.24780976220275344,0.0010303930985379151,0.09392501047470543
sma,premkt,nextopen,atr,3R,1028,-0.2154252865174829,0.27626459143968873,-0.022033161038952136,-0.8774394049733454,838,-0.07057703648304721,0.29952267303102625,-0.01895380104763215,-0.2342531704639631
ema,rth,trigger,atr,2R,1033,-0.2176042053733526,0.33107454017424975,-0.04422774589827802,-1.077411258166628,910,-0.07638184331628382,0.3395604395604396,-0.02636573000801864,-0.31282401976631663
ema,premkt,nextopen,atr,3R,1049,-0.21976561320648214,0.2755004766444233,-0.0187671100542076,-0.9177312362311035,843,-0.06756699032697354,0.2941874258600237,-0.025060761292810325,-0.2282494837447078
ema,premkt,trigger,pullback,trail,1087,-0.2221059132685116,0.3891444342226311,0.004957363302474552,-1.1998247357329532,836,-0.24894491975896327,0.35406698564593303,-0.017941633239913456,-1.1092176764733022
sma,rth,nextopen,atr,2R,1051,-0.22619864549044616,0.3273073263558516,-0.046717289274384524,-1.1512785941728094,934,-0.10121709245122275,0.3372591006423983,-0.03915559613430122,-0.4271453411981165
sma,rth,nextopen,atr,trail,1051,-0.2346447529609602,0.33777354900095147,-0.05143867593907666,-1.4325836813072068,934,-0.21166459046230424,0.33083511777301927,-0.07151865327168111,-1.1543686167289153
sma,premkt,trigger,atr,3R,989,-0.2373162549858029,0.2770475227502528,-0.02712223163433756,-0.930012075978032,799,0.0037422270685144813,0.2903629536921151,-0.027596453282613127,0.011625168568048799
sma,rth,trigger,atr,3R,1011,-0.24040547765095405,0.27299703264094954,-0.04005006108825071,-1.0059458555789265,890,0.059277187209425375,0.28651685393258425,-0.007328754654498662,0.1987628228239657
ema,rth,trigger,atr,eod,1033,-0.2448310795932101,0.21878025169409487,-0.040111110457646745,-0.6027425355949119,910,0.5743379228581056,0.22197802197802197,0.06223014165383628,0.7016245625326066
sma,premkt,trigger,atr,2R,989,-0.24855215486540883,0.3367037411526795,-0.03314370103223213,-1.1548018575182661,799,-0.11686950390701517,0.3429286608260325,-0.035915534583411124,-0.43735069276964594
ema,premkt,nextopen,c20,1R,1128,-0.25053513151409135,0.4530141843971631,-0.09225797872340427,-2.461752831432299,875,-0.267799778722535,0.45371428571428574,-0.09841771428571433,-2.2564508907557315
ema,premkt,trigger,atr,3R,1010,-0.25363696101170474,0.2742574257425743,-0.029909060291291593,-1.019617013084682,806,0.041510846359271845,0.2890818858560794,-0.0269374271261956,0.13116415464869202
ema,premkt,nextopen,c20,2R,1128,-0.2559408677937023,0.32358156028368795,-0.09135815602836879,-1.9164585855762692,875,-0.3991109535640823,0.31085714285714283,-0.12296171428571429,-2.6018344692383217
ema,premkt,nextopen,c20,trail,1128,-0.25941145892875583,0.33687943262411346,-0.08050930851063735,-2.573626885077994,875,-0.24805505334958836,0.3565714285714286,-0.0507977142857133,-2.1627544700983474
sma,rth,trigger,atr,eod,1011,-0.26190043115390615,0.2195845697329377,-0.03395173840135878,-0.633021008990676,890,-0.008890328826500697,0.22696629213483147,-0.017026114178380663,-0.018619246593332195
sma,rth,trigger,atr,2R,1011,-0.27019816143641096,0.3303659742828882,-0.05037573326744673,-1.334154852257455,890,-0.03786290680122806,0.3438202247191011,-0.01911788607353893,-0.15276489061816156
sma,premkt,nextopen,c20,1R,1059,-0.2715223156654055,0.4513692162417375,-0.09625023607176582,-2.5663242058678546,853,-0.25276258359878956,0.4525205158264947,-0.09981828839390389,-2.1062842806401485
ema,rth,nextopen,c20,1R,1150,-0.2723033311710895,0.45304347826086955,-0.09394869565217394,-2.623970350158082,988,-0.3676664056667059,0.4402834008097166,-0.12347419028340081,-3.1626907078876587
sma,premkt,nextopen,c20,2R,1059,-0.2750430519104568,0.32577903682719545,-0.08889187913125592,-1.9832189399430615,853,-0.3824490495548815,0.3141852286049238,-0.11599765533411492,-2.465014589679626
sma,premkt,nextopen,c20,trail,1059,-0.2786388688585827,0.3333333333333333,-0.091996222851746,-2.6899869075754492,853,-0.23881612475063335,0.3552168815943728,-0.05984994138335203,-2.0372631114576025
sma,rth,trigger,pullback,2R,1040,-0.27888631751441945,0.3528846153846154,0.019082146111954707,-1.1403255166075563,905,-0.036891490059039446,0.3392265193370166,0.01712062979301562,-0.12002473879230627
sma,rth,nextopen,c20,1R,1081,-0.3046166189079175,0.4495837187789084,-0.09961887141535615,-2.8379033517851857,951,-0.3037091842802326,0.4416403785488959,-0.11675236593059936,-2.5702866242515037
ema,premkt,trigger,atr,2R,1010,-0.31005906884803325,0.3326732673267327,-0.04032717968578671,-1.4858341649578573,806,-0.14340201994837037,0.3399503722084367,-0.037835997650518594,-0.5482778754576492
sma,premkt,nextopen,atr,2R,1028,-0.31604980937332167,0.33073929961089493,-0.03889089714363903,-1.532860573131566,838,-0.1202151311316632,0.3448687350835322,-0.031635447039686744,-0.4678877274121903
ema,premkt,nextopen,atr,2R,1049,-0.3262978219030558,0.32983794089609153,-0.04095436114018444,-1.6206349698830564,843,-0.21821670550854522,0.33570581257413995,-0.051075879112712656,-0.8721217229292576
ema,premkt,nextopen,atr,trail,1049,-0.32749279940960935,0.334604385128694,-0.06153460856377845,-1.9621863796400578,843,-0.13718082047610833,0.3274021352313167,-0.05423611333460847,-0.6824019027901652
sma,rth,nextopen,atr,1R,1051,-0.3811949587872722,0.4652711703139867,-0.07005266269411552,-2.6645045059953274,934,-0.40703992931199723,0.4518201284796574,-0.09382366190503302,-2.3891906399326683
sma,premkt,nextopen,atr,trail,1028,-0.3816114454734168,0.3336575875486381,-0.0685295915889036,-2.277243821821037,838,-0.12067807331347057,0.33890214797136037,-0.046512006663465895,-0.589216534408814
ema,rth,nextopen,atr,1R,1072,-0.3888947643451549,0.4626865671641791,-0.07603470203724506,-2.7427469679412075,953,-0.4835892952022536,0.44176285414480587,-0.11313384006310993,-2.859503602303947
sma,premkt,nextopen,atr,1R,1028,-0.39855771402032025,0.4688715953307393,-0.06212449491129961,-2.5958906828232458,838,-0.34017654542992426,0.4606205250596659,-0.07530298994394206,-1.806890098413829
ema,premkt,nextopen,atr,1R,1049,-0.41324104208402357,0.4661582459485224,-0.06880209214392764,-2.7468022791263778,843,-0.4217461136300514,0.4472123368920522,-0.10031700977784279,-2.28683311454531
