symbol,signal_ts,entry_ts,exit_ts,direction,entry_px,exit_px,stop_px,target_px,risk_per_share,r,ret_pct,bars_held,reason
QQQ,2021-01-26 10:30:00,2021-01-26 11:30:00,2021-01-26 15:55:00,1,328.43944999999997,328.6,327.22,330.87834999999984,1.219449999999938,0.13165771454349554,0.048882678374981295,53,flatten
NVDA,2021-01-27 10:35:00,2021-01-27 10:40:00,2021-01-27 14:50:00,-1,524.685,516.5549999999998,528.75,516.5549999999998,4.065000000000055,2.0,1.549501129248999,50,target
AMD,2021-01-27 10:35:00,2021-01-27 10:50:00,2021-01-27 11:45:00,-1,89.74000000000001,90.42,90.42,88.38000000000002,0.6799999999999926,-1.0,-0.7577445954980974,11,stop
SPY,2021-01-27 10:45:00,2021-01-27 10:50:00,2021-01-27 14:30:00,1,379.21000000000004,375.63,375.63,386.3700000000001,3.580000000000041,-1.0,-0.9440679306980408,44,stop
MSFT,2021-01-27 10:50:00,2021-01-27 10:55:00,2021-01-27 15:25:00,1,239.495,230.74,230.74,257.005,8.754999999999995,-1.0,-3.6556086765903237,54,stop
AMZN,2021-01-27 10:45:00,2021-01-27 10:55:00,2021-01-27 14:30:00,1,3298.825,3246.0149,3246.0149,3404.445199999999,52.81009999999969,-1.0,-1.6008760695095887,43,stop
QQQ,2021-01-27 10:45:00,2021-01-27 11:00:00,2021-01-27 14:30:00,1,325.27,321.0,321.0,333.80999999999995,4.269999999999982,-1.0,-1.3127555569219362,42,stop
AAPL,2021-01-27 11:05:00,2021-01-27 11:15:00,2021-01-27 15:30:00,-1,143.265,141.19499999999994,144.3,141.19499999999994,1.035000000000025,2.0,1.4448748822113218,51,target
IWM,2021-01-27 11:50:00,2021-01-27 12:15:00,2021-01-27 12:45:00,-1,211.32,212.21,212.21,209.53999999999996,0.8900000000000148,-1.0,-0.4211622184365015,6,stop
META,2021-01-28 10:35:00,2021-01-28 10:40:00,2021-01-28 10:40:00,-1,271.58495,271.82,271.82,271.11485,0.2350500000000011,-1.0,-0.08654750566995745,0,stop
AMD,2021-01-28 10:45:00,2021-01-28 11:00:00,2021-01-28 15:55:00,-1,88.485,87.515,89.12,87.21499999999999,0.6350000000000051,1.5275590551180962,1.0962309996044515,59,flatten
NVDA,2021-01-28 11:05:00,2021-01-28 11:10:00,2021-01-28 13:50:00,1,524.8199999999999,533.2599999999998,520.6,533.2599999999998,4.219999999999914,2.0,1.6081704203345581,32,target
QQQ,2021-01-28 11:05:00,2021-01-28 11:20:00,2021-01-28 15:55:00,1,323.865,321.8301,321.8301,327.9348,2.0348999999999933,-1.0,-0.6283173544532423,55,stop
