label,leg,n,mean_bps,ann_ret_arith_pct,ann_ret_geom_pct,ann_vol_pct,sharpe,t,p,win_rate,start,end,symbol,period
QQQ|full,total,6918,5.484244522500126,13.820296196700319,10.744182391975784,26.90684548755538,0.5136349485149537,2.6911913274844728,0.0071197349938176835,0.5448106389129806,1999-03-11,2026-09-10,QQQ,full
RSP|full,overnight,5877,4.73213069824376,11.924969359574275,11.918005303823463,11.4782890155446,1.0389152375780706,5.01715699475079,5.244171337182024e-07,0.5684873234643526,2003-05-02,2026-09-10,RSP,full
RSP|full,intraday,5877,0.2507286303078012,0.631836148375659,-0.6203632533011797,15.840307229225687,0.039887872074217644,0.19262756877973622,0.8472506525022341,0.5220350518972264,2003-05-02,2026-09-10,RSP,full
RSP|full,total,5877,4.995700903482478,12.589166276775845,11.223707125090922,19.72613438505599,0.6381973290374151,3.0819994525017496,0.0020561521563229324,0.5456865747830526,2003-05-02,2026-09-10,RSP,full
SPY|full,overnight,8460,4.010645720822532,10.10682721647278,10.012027898551338,10.582194723266225,0.9550785523017932,5.5338069387915025,3.1335387618014465e-08,0.5647754137115839,1993-02-01,2026-09-10,SPY,full
SPY|full,intraday,8460,0.7460087330102588,1.879942007185852,0.7304392948715297,15.181402626155776,0.12383190496159642,0.7174926641046775,0.4730701612819854,0.5237588652482269,1993-02-01,2026-09-10,SPY,full
SPY|full,total,8460,4.758396057564951,11.991158065063678,10.815598979407401,18.53941303767714,0.6467927566365977,3.747572632648437,0.00017855414164724692,0.5405437352245863,1993-02-01,2026-09-10,SPY,full
TSLA|full,overnight,4074,17.158557125663343,43.239563956671624,45.33323128416387,34.29842566743498,1.2606865509202048,5.068942464132188,4.000321207620061e-07,0.5532646048109966,2010-06-30,2026-09-10,TSLA,full
TSLA|full,intraday,4074,2.7601121011555336,6.955482494911945,-3.723865602581057,46.376878817223314,0.1499773739048786,0.6030259295544658,0.5464914397702969,0.49680903289150713,2010-06-30,2026-09-10,TSLA,full
TSLA|full,total,4074,19.828193333969423,49.967047201602945,39.92121707525323,57.365857118400335,0.8710241546373726,3.502195943554313,0.00046144012837290305,0.5157093765341189,2010-06-30,2026-09-10,TSLA,full
TXN|full,overnight,9239,3.9247028200389122,9.89025110649806,7.84554179487246,21.584775801657198,0.45820494951533025,2.7744186122342933,0.00553004691336878,0.5305769022621496,1990-01-03,2026-09-10,TXN,full
