symbol,period,n_days,round_trips_per_yr,round_trip_cost_bps,gross_mean_bps,net_mean_bps,net_ann_ret_geom_pct,net_sharpe,net_t,net_p
IWM,last3y,753,252,1,7.158908882199345,6.158908882199345,15.654688816588875,1.1130332056561367,1.9240012008095309,0.054354432951848386
IWM,last3y,753,252,2,7.158908882199345,5.158908882199348,12.777994774753152,0.9323139862383834,1.611608009481383,0.1070472666661555
IWM,last3y,753,252,3,7.158908882199345,4.158908882199342,9.972576206330482,0.7515947668206286,1.299214818153234,0.1938702175511593
IWM,last3y,753,252,5,7.158908882199345,2.1589088821993405,4.568572253240552,0.39015632798512045,0.6744284354969369,0.5000389695556839
IWM,last3y,753,252,8,7.158908882199345,-0.8410911178006572,-3.04546218618441,-0.15200133026814086,-0.2627511384875066,0.7927423983471116
IWM,last3y,753,252,10,7.158908882199345,-2.8410911178006613,-7.812088865127883,-0.5134397691036494,-0.8875375211438039,0.37478957456001005
IWM,last3y,753,252,20,7.158908882199345,-12.841091117800662,-28.362999710956327,-2.3206319632811887,-4.011469434425286,6.034199038551513e-05
IWM,pre2015,3671,252,0,5.280726287832219,5.280726287832219,13.31091088346482,1.046377718872429,3.9937456756361036,6.503762346588005e-05
IWM,pre2015,3671,252,1,5.280726287832219,4.280726287832218,10.492306204674477,0.8482273770750365,3.2374584799072808,0.0012059948727465297
IWM,pre2015,3671,252,2,5.280726287832219,3.280726287832221,7.74354287810779,0.6500770352776448,2.4811712841784606,0.013095143037894053
IWM,pre2015,3671,252,3,5.280726287832219,2.280726287832216,5.06289705066593,0.45192669348025144,1.724884088449634,0.08454836362202478
IWM,pre2015,3671,252,5,5.280726287832219,0.28072628783221465,-0.10072664297901099,0.05562600988546648,0.2123096969919879,0.831865430768026
IWM,pre2015,3671,252,8,5.280726287832219,-2.7192737121677824,-7.375995080231388,-0.5388250155067099,-2.0565518901944775,0.03972935002567124
IWM,pre2015,3671,252,10,5.280726287832219,-4.7192737121677855,-11.930493348295471,-0.9351256991014953,-3.5691262816521254,0.0003581737571887178
IWM,pre2015,3671,252,20,5.280726287832219,-14.719273712167787,-31.566330267030846,-2.916629117075419,-11.131998238940351,0.0
RSP,full,5877,252,0,4.73213069824376,4.73213069824376,11.918005303823458,1.0389152375780706,5.01715699475079,5.244171337182024e-07
RSP,full,5877,252,1,4.73213069824376,3.73213069824376,9.133929435745818,0.8193703213813044,3.9569248678966424,7.592079635543314e-05
RSP,full,5877,252,2,4.73213069824376,2.7321306982437608,6.418842309343903,0.5998254051845384,2.896692741042493,0.0037711890807572424
RSP,full,5877,252,3,4.73213069824376,1.7321306982437583,3.7710410426558467,0.3802804889877719,1.8364606141883422,0.06628956200662461
RSP,full,5877,252,5,4.73213069824376,-0.26786930175624407,-1.3293071195946413,-0.05880934340576086,-0.28400363951995844,0.776407591506513
RSP,full,5877,252,8,4.73213069824376,-3.2678693017562415,-8.515404157697768,-0.7174440919960586,-3.4647000200824034,0.000530823230801003
RSP,full,5877,252,10,4.73213069824376,-5.267869301756245,-13.014066559067578,-1.1565339243895916,-5.585164273790703,2.3347941136009354e-08
RSP,full,5877,252,20,4.73213069824376,-15.267869301756244,-32.40905473597302,-3.3519830863572526,-16.18748554233219,0.0
